Total above 15 employment to population (%),1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,COUNTRY AVG
Iraq,35.20000076,35.20000076,35.09999847,35.20000076,35.09999847,35,30.29999924,37.59999847,37.5,37.29999924,37.40000153,35.53636343
Guatemala,48.90000153,47.5,46.20000076,49.70000076,53,55.09999847,58.40000153,61.20000076,61.79999924,62.29999924,62.70000076,55.16363664
Maldives,52.29999924,53.09999847,54.20000076,54.29999924,55.20000076,57.79999924,59.40000153,60.79999924,60.40000153,55.79999924,56.90000153,56.38181825
"Korea, Rep.",60.90000153,56.5,56.70000076,58.29999924,58.59999847,59.5,58.70000076,59.20000076,59.09999847,59.20000076,58.90000153,58.6909093
Bahrain,61.59999847,61.59999847,61.59999847,61.59999847,61.70000076,61.5,61.40000153,61.20000076,61,60.59999847,60.40000153,61.29090881
New Zealand,60.90000153,60,60.5,61.20000076,62.20000076,62.90000153,63,64,64.90000153,65.40000153,65,62.72727342
Paraguay,68,68.40000153,68.30000305,68.09999847,68.69999695,67,69.59999847,71.09999847,72.40000153,72.5,73.09999847,69.74545427
Qatar,70.5,70.5,70,71.19999695,70.69999695,72,73.30000305,75.59999847,75.80000305,75.5,76,72.82727259
Madagascar,80.09999847,80.19999695,80.30000305,80.19999695,80,79.30000305,78.09999847,81.5,84.30000305,84.09999847,83,81.00909077
Tanzania,86.09999847,85.90000153,85.69999695,85.09999847,84.30000305,83.30000305,82.30000305,81,79.40000153,78.09999847,78.19999695,82.67272741
