Matrix,1954,1959,1964,1969,1974,1979,1984,1989,1994,1999
Ireland,2,3,2,2,5,7,8,9,13,13
Norway,8,8,8,9,11,13,15,16,13,14
New Zealand,10,11,10,12,11,11,13,15,16,15
Canada,9,9,11,13,15,16,15,14,14,14
Belgium,13,12,13,14,15,21,23,18,20,17
Sweden,17,18,20,22,20,21,20,18,14,13
Japan,30,28,19,17,20,20,21,16,15,22
Switzerland,24,20,18,19,21,25,25,22,20,17
Denmark,25,23,22,22,27,27,28,25,17,14
Finland,23,24,23,27,27,26,26,29,28,24
